[INFO] Running gsbs_only.py
[fetch_atlas_schaefer_2018] Dataset found in /home/t-9sador/nilearn_data/schaefer_2018
[STAGE 1] LOADING DATA
[INFO] Successfully loaded, cleaned, and z-scored 'students' data.
[INFO] Target output shape format: (320, 477) (n_voxels, TR)
[INFO] Successfully loaded, cleaned, and z-scored 'experts' data.
[INFO] Target output shape format: (320, 477) (n_voxels, TR)
[INFO] Successfully loaded, cleaned, and z-scored 'combined' data.
[INFO] Target output shape format: (320, 477) (n_voxels, TR)

[STAGE 2] RUNNING GSBS ON RAW Z-SCORED DATA
[INFO] 200 ROIs to process
  Students - ROI 1: optimal n events = 42
  Experts - ROI 1: optimal n events = 38
  Combined - ROI 1: optimal n events = 41
  Students - ROI 2: optimal n events = 33
  Experts - ROI 2: optimal n events = 32
  Combined - ROI 2: optimal n events = 27
  Students - ROI 3: optimal n events = 44
  Experts - ROI 3: optimal n events = 42
  Combined - ROI 3: optimal n events = 58
  Students - ROI 4: optimal n events = 36
  Experts - ROI 4: optimal n events = 32
  Combined - ROI 4: optimal n events = 43
  Students - ROI 5: optimal n events = 43
  Experts - ROI 5: optimal n events = 35
  Combined - ROI 5: optimal n events = 29
  Students - ROI 6: optimal n events = 39
  Experts - ROI 6: optimal n events = 37
  Combined - ROI 6: optimal n events = 40
  Students - ROI 7: optimal n events = 34
  Experts - ROI 7: optimal n events = 27
  Combined - ROI 7: optimal n events = 34
  Students - ROI 8: optimal n events = 39
  Experts - ROI 8: optimal n events = 35
  Combined - ROI 8: optimal n events = 38
  Students - ROI 9: optimal n events = 80
  Experts - ROI 9: optimal n events = 78
  Combined - ROI 9: optimal n events = 38
  Students - ROI 10: optimal n events = 66
  Experts - ROI 10: optimal n events = 51
  Combined - ROI 10: optimal n events = 56
[CHECKPOINT] Saved through ROI 10
  Students - ROI 11: optimal n events = 38
  Experts - ROI 11: optimal n events = 40
  Combined - ROI 11: optimal n events = 31
  Students - ROI 12: optimal n events = 49
  Experts - ROI 12: optimal n events = 39
  Combined - ROI 12: optimal n events = 44
  Students - ROI 13: optimal n events = 32
  Experts - ROI 13: optimal n events = 54
  Combined - ROI 13: optimal n events = 41
  Students - ROI 14: optimal n events = 38
  Experts - ROI 14: optimal n events = 47
  Combined - ROI 14: optimal n events = 37
  Students - ROI 15: optimal n events = 38
  Experts - ROI 15: optimal n events = 48
  Combined - ROI 15: optimal n events = 34
  Students - ROI 16: optimal n events = 35
  Experts - ROI 16: optimal n events = 43
  Combined - ROI 16: optimal n events = 38
  Students - ROI 17: optimal n events = 36
  Experts - ROI 17: optimal n events = 50
  Combined - ROI 17: optimal n events = 33
  Students - ROI 18: optimal n events = 35
  Experts - ROI 18: optimal n events = 41
  Combined - ROI 18: optimal n events = 36
  Students - ROI 19: optimal n events = 39
  Experts - ROI 19: optimal n events = 36
  Combined - ROI 19: optimal n events = 38
  Students - ROI 20: optimal n events = 51
  Experts - ROI 20: optimal n events = 30
  Combined - ROI 20: optimal n events = 39
[CHECKPOINT] Saved through ROI 20
  Students - ROI 21: optimal n events = 26
  Experts - ROI 21: optimal n events = 37
  Combined - ROI 21: optimal n events = 27
  Students - ROI 22: optimal n events = 38
  Experts - ROI 22: optimal n events = 34
  Combined - ROI 22: optimal n events = 31
  Students - ROI 23: optimal n events = 36
  Experts - ROI 23: optimal n events = 45
  Combined - ROI 23: optimal n events = 35
  Students - ROI 24: optimal n events = 44
  Experts - ROI 24: optimal n events = 44
  Combined - ROI 24: optimal n events = 33
  Students - ROI 25: optimal n events = 28
  Experts - ROI 25: optimal n events = 48
  Combined - ROI 25: optimal n events = 33
  Students - ROI 26: optimal n events = 43
  Experts - ROI 26: optimal n events = 38
  Combined - ROI 26: optimal n events = 33
  Students - ROI 27: optimal n events = 40
  Experts - ROI 27: optimal n events = 38
  Combined - ROI 27: optimal n events = 36
  Students - ROI 28: optimal n events = 31
  Experts - ROI 28: optimal n events = 58
  Combined - ROI 28: optimal n events = 29
  Students - ROI 29: optimal n events = 33
  Experts - ROI 29: optimal n events = 28
  Combined - ROI 29: optimal n events = 40
  Students - ROI 30: optimal n events = 40
  Experts - ROI 30: optimal n events = 31
  Combined - ROI 30: optimal n events = 29
[CHECKPOINT] Saved through ROI 30
  Students - ROI 31: optimal n events = 44
  Experts - ROI 31: optimal n events = 43
  Combined - ROI 31: optimal n events = 64
  Students - ROI 32: optimal n events = 29
  Experts - ROI 32: optimal n events = 38
  Combined - ROI 32: optimal n events = 34
  Students - ROI 33: optimal n events = 40
  Experts - ROI 33: optimal n events = 39
  Combined - ROI 33: optimal n events = 41
  Students - ROI 34: optimal n events = 43
  Experts - ROI 34: optimal n events = 45
  Combined - ROI 34: optimal n events = 43
  Students - ROI 35: optimal n events = 30
